ID;ControlNumber;Sicard;Tempo
1;21;7000443;20:17:08
2;26;7000443;20:17:25
4;21;7000443;20:19:10
5;26;7000443;20:19:16
6;21;7000443;20:36:22
7;26;7000443;20:38:05
3;26;7000443;20:18:50
9;26;7000443;20:41:33
8;21;7000443;20:40:41
10;21;7000443;21:21:51
11;26;7000443;21:23:02
14;21;2045501;21:28:11
15;26;2045501;21:28:58
16;22;7211224;09:53:23
13;26;7000443;21:24:13
17;27;9101958;09:54:45
19;22;2011406;10:00:00
18;21;337788;10:00:00
20;22;2021340;10:00:02
12;21;7000443;21:23:39
21;22;337799;10:01:03
22;21;2065901;10:01:03
25;22;2011394;10:02:03
24;21;425710;10:02:02
26;21;2011400;10:02:07
27;22;2011395;10:03:02
28;21;210912;10:03:02
29;21;307699;10:03:05
30;21;210920;10:04:02
31;22;7505090;10:04:02
32;21;7030308;10:04:03
33;21;2081227;10:05:02
34;21;2133192;10:05:04
36;21;2065878;10:06:03
35;21;2011408;10:05:06
37;21;210676;10:06:04
38;21;308880;10:06:08
39;21;421659;10:07:02
23;21;2024196;10:01:06
41;21;2011409;10:07:07
42;21;337660;10:08:03
43;22;9551224;10:08:04
44;21;2011403;10:08:05
45;22;2011399;10:08:05
46;21;2011402;10:08:10
40;22;205893;10:07:03
47;21;2011407;10:09:02
51;22;2011397;10:10:05
49;21;2011404;10:09:06
50;22;2063266;10:10:02
52;21;1006248;10:10:05
53;22;7208139;10:11:02
54;21;2099329;10:11:03
55;22;428150;10:11:04
56;21;2011393;10:11:11
57;21;2011392;10:11:13
58;22;201416;10:12:02
59;21;7208140;10:12:02
60;21;7000443;10:13:02
61;22;2011391;10:13:02
62;21;2011396;10:13:05
63;22;2056735;10:14:02
64;21;2011390;10:14:02
65;21;332800;10:14:04
66;21;7208131;10:15:03
67;22;2081226;10:15:04
69;21;2011387;10:16:02
71;21;2099318;10:16:05
68;21;2130437;10:15:04
72;21;2011410;10:16:10
74;21;2020390;10:17:05
73;21;2011389;10:17:03
48;21;2114253;10:09:04
76;22;2011388;10:18:02
77;22;308000;10:18:03
75;21;2011411;10:17:06
78;21;2800014;10:18:04
79;21;2011412;10:18:15
80;21;2011384;10:19:02
81;21;320036;10:19:04
70;22;7001108;10:16:04
83;22;2011414;10:20:03
84;21;8290105;10:20:03
85;21;2056702;10:20:10
82;22;2011415;10:19:09
86;21;2056702;10:20:11
88;21;2103431;10:21:04
89;21;2091637;10:21:07
90;21;2011416;10:21:11
91;21;7204775;10:22:02
92;22;2103432;10:22:04
93;21;2011427;10:22:04
94;21;2011413;10:22:26
95;21;2056701;10:23:02
96;22;2011405;10:23:02
87;21;7204772;10:21:03
98;21;2011417;10:23:08
99;21;2042400;10:24:02
100;22;2063270;10:24:03
101;21;2050459;10:25:03
102;21;1399486;10:25:04
97;21;7208135;10:23:06
103;22;2011424;10:25:18
104;22;2011425;10:25:20
106;21;2063258;10:26:03
107;22;205679;10:26:04
108;22;44975;10:27:02
105;22;2011423;10:26:02
109;21;205958;10:27:02
110;21;2020391;10:27:08
111;21;211212;10:28:03
112;22;7208136;10:28:04
113;22;2103452;10:29:02
114;21;7001105;10:29:03
115;22;2099293;10:29:03
116;22;8310767;10:30:02
117;21;2065841;10:30:03
118;22;2011420;10:30:04
119;22;2073796;10:31:02
120;21;2011401;10:31:02
121;22;2011419;10:31:03
122;22;7208141;10:32:02
123;21;2107989;10:32:03
124;22;2099288;10:33:02
125;22;8005285;10:33:03
126;21;7830731;10:33:07
127;21;2063255;10:34:02
128;21;7208133;10:34:05
130;22;2143174;10:35:01
129;26;2024196;10:34:25
131;21;211343;10:35:02
132;21;7204776;10:35:08
133;27;2011399;10:35:16
134;26;2011398;10:35:17
135;26;7505090;10:35:28
136;21;2063252;10:36:02
137;21;7739913;10:36:03
138;21;503385;10:36:04
139;21;415144;10:36:09
140;27;2011395;10:36:12
141;27;425710;10:36:17
142;27;2065901;10:36:41
143;21;7793933;10:37:02
144;22;2063269;10:37:04
145;21;9900935;10:37:05
146;26;7030308;10:37:13
147;22;415146;10:38:02
148;22;2133186;10:38:03
149;21;210350;10:38:05
150;27;210912;10:38:10
151;26;307699;10:38:45
152;22;2011422;10:39:02
153;27;2011409;10:39:24
154;22;7790124;10:40:02
155;21;2011421;10:40:03
156;22;2133176;10:41:02
157;21;2073781;10:41:02
158;21;1931439;10:41:04
159;21;2011426;10:42:02
160;22;1428415;10:42:02
161;26;2011411;10:42:26
162;26;2011415;10:42:32
163;27;421659;10:42:45
164;27;1006248;10:42:56
165;22;245713;10:43:02
166;21;2011432;10:43:03
167;27;2011407;10:43:36
168;27;2099329;10:43:59
169;21;2056703;10:44:02
170;21;7001102;10:44:04
171;22;2011431;10:44:07
172;21;2065895;10:45:02
173;22;2011429;10:45:04
174;21;2011428;10:45:05
175;27;7001108;10:45:15
176;27;210920;10:45:18
177;27;2011397;10:45:41
178;27;2011385;10:45:49
179;27;2114253;10:45:52
180;21;503381;10:46:02
181;21;2011433;10:46:08
182;27;2133192;10:46:38
183;27;2011394;10:46:52
184;21;7208143;10:47:01
185;27;337660;10:47:18
186;21;2143179;10:48:02
187;27;2063266;10:48:02
188;27;2021340;10:48:13
189;26;2800014;10:48:24
190;27;2081226;10:48:24
191;27;2011406;10:48:54
192;21;245712;10:49:02
193;26;9551224;10:49:13
194;27;210676;10:49:36
195;22;2025445;10:50:03
196;22;2011434;10:50:04
197;26;308880;10:50:06
198;27;7204772;10:50:31
199;21;226467;10:51:02
200;21;7204771;10:51:04
201;21;8654928;10:52:02
202;21;210905;10:52:03
203;27;2011391;10:52:28
204;26;2011393;10:52:40
205;27;2011392;10:52:41
206;26;201416;10:52:43
207;21;2103447;10:53:02
208;22;2011435;10:53:07
209;26;332800;10:53:27
210;27;2011390;10:53:28
211;27;205893;10:53:41
212;21;2025425;10:54:02
213;21;442574;10:54:04
214;26;2011408;10:54:16
215;27;428150;10:54:17
216;27;7000443;10:54:26
217;26;2103431;10:55:01
218;21;7201854;10:55:02
219;26;2130437;10:55:07
220;21;2101402;10:56:02
221;27;2056701;10:56:04
222;27;2011423;10:56:31
223;27;2063270;10:56:39
224;27;7204775;10:56:58
225;21;2103395;10:57:03
226;26;7208131;10:57:10
227;27;7208131;10:57:17
228;26;2042400;10:57:26
229;26;2011402;10:57:58
230;21;2084578;10:58:02
231;27;2056735;10:58:32
232;26;308000;10:58:46
233;27;308000;10:58:59
234;21;8630832;10:59:02
235;26;2011427;10:59:27
236;27;2011400;10:59:30
237;27;8005285;10:59:39
238;26;7001105;10:59:39
239;21;205935;11:00:02
240;22;2056718;11:01:02
241;21;2103401;11:01:04
242;26;2099288;11:01:24
243;27;2020391;11:01:48
244;27;320036;11:02:21
245;26;7208140;11:02:23
246;27;7208139;11:02:25
247;27;2011424;11:03:02
248;27;2011425;11:03:05
249;27;2011404;11:03:17
250;21;2011436;11:03:28
251;27;2020390;11:03:33
252;26;2011403;11:03:36
253;27;2081227;11:03:53
254;27;9900935;11:04:01
255;21;210911;11:04:07
256;27;7208141;11:04:38
257;27;8290105;11:04:49
258;26;2103452;11:04:50
259;27;2091637;11:04:51
260;27;1399486;11:05:03
261;22;2091664;11:05:03
262;27;44975;11:05:19
263;26;2011389;11:05:33
264;22;2127746;11:05:50
265;26;7208133;11:05:58
266;27;2050459;11:06:30
267;26;2050459;11:06:32
268;27;2065841;11:07:07
269;26;415144;11:07:12
270;27;2011396;11:07:12
271;26;2099318;11:07:16
272;27;2107989;11:07:36
273;27;7208135;11:08:07
274;27;1931439;11:08:34
275;27;2011419;11:08:47
276;27;2065878;11:08:56
277;27;205679;11:09:30
278;27;2073781;11:10:33
279;26;7204776;11:10:42
280;26;8310767;11:10:50
281;27;337799;11:11:34
282;26;2073796;11:12:34
283;27;245713;11:13:22
284;27;7790124;11:13:34
285;26;2011414;11:13:39
286;26;2011416;11:13:41
287;27;2011414;11:13:43
288;27;205958;11:13:44
289;26;2011417;11:13:45
290;27;2063255;11:13:47
291;26;2011410;11:13:52
292;26;211212;11:13:57
293;27;2063252;11:14:31
294;26;7830731;11:14:37
295;27;2063258;11:15:05
296;27;2011422;11:15:53
297;27;2099293;11:15:58
298;27;2011426;11:16:10
299;27;2063269;11:16:26
300;27;2103432;11:17:15
301;26;2011421;11:17:51
302;27;2133176;11:17:52
303;27;210350;11:18:05
304;27;2011431;11:18:07
305;27;7001102;11:18:17
306;26;7793933;11:18:23
307;27;337788;11:18:35
308;26;7208143;11:18:37
309;27;2011431;11:18:44
310;27;2056703;11:18:56
311;27;1428415;11:19:12
312;27;2065895;11:20:19
313;26;2011405;11:21:02
314;26;2025445;11:21:39
315;27;2143174;11:21:42
316;27;2143179;11:21:54
317;27;2011401;11:22:07
318;26;8654928;11:22:10
319;27;2011420;11:22:21
320;27;2011384;11:22:39
321;26;7739913;11:22:41
322;26;2011433;11:22:44
323;27;245712;11:23:10
324;26;7204771;11:23:33
325;27;503385;11:23:41
326;27;7208136;11:23:58
327;26;2011388;11:23:59
328;26;2011432;11:24:01
329;27;2011388;11:24:02
330;26;7208136;11:24:04
331;26;2011428;11:24:07
332;27;2011429;11:24:08
333;27;210905;11:24:12
334;26;2056702;11:24:17
335;27;415146;11:24:29
336;26;2011428;11:24:31
337;27;2011429;11:24:32
338;26;2011429;11:24:35
339;27;2103447;11:24:39
340;27;2133186;11:27:26
341;27;8630832;11:29:54
342;26;503381;11:30:06
343;26;2011436;11:31:34
344;27;2025425;11:31:51
345;27;2101402;11:32:02
346;26;2103401;11:32:06
347;27;2084578;11:32:15
348;27;205935;11:33:04
350;27;2103395;11:34:01
349;26;210911;11:34:01
351;27;2011435;11:34:36
352;27;2056718;11:35:27
353;26;2056718;11:35:29
354;26;2011413;11:35:48
355;27;2011413;11:35:49
356;27;2011413;11:35:57
357;27;442574;11:36:01
358;26;7201854;11:36:26
359;27;226467;11:36:40
360;26;2091664;11:37:26
361;27;2091664;11:37:30
362;27;2011434;11:39:43
363;26;211343;11:40:35
364;27;2011387;11:40:47
365;27;2127746;11:52:59
366;26;2127746;11:53:01
